keyword,pattern_category,stream,city_state,intent,priority,notes
cheapest PG in ahmedabad near university,pg-hostel,,Ahmedabad,transactional,low,
best PG in kolkata for students 2027,pg-hostel,,Kolkata,transactional,medium,
cheapest PG in kolkata near jadavpur university,pg-hostel,,Kolkata,transactional,low,
best PG in nagpur for students 2027,pg-hostel,,Nagpur,transactional,low,
best PG in kanpur near IIT campus,pg-hostel,,Kanpur,transactional,low,
best PG in varanasi near BHU,pg-hostel,,Varanasi,transactional,low,
best PG in vellore near VIT university,pg-hostel,,Vellore,transactional,low,
best PG in ranchi for students 2027,pg-hostel,,Ranchi,transactional,low,
best PG in bhubaneswar for students 2027,pg-hostel,,Bhubaneswar,transactional,low,
best PG in thiruvananthapuram for students,pg-hostel,,Thiruvananthapuram,transactional,low,
how to negotiate PG rent tips for students,pg-hostel,,India,informational,medium,guide
PG agreement format what to check before signing,pg-hostel,,India,informational,medium,guide
rights of PG tenant in india legal guide,pg-hostel,,India,informational,low,guide
best food delivery apps for PG students india,pg-hostel,,India,informational,low,
co-living spaces vs PG which is better for students,pg-hostel,,India,informational,medium,
working student accommodation tips india 2027,pg-hostel,,India,informational,medium,guide
scholarship for students living away from home,scholarship,,India,informational,medium,
HDFC Badhte Kadam scholarship 2027,scholarship,,India,informational,low,private
Tata scholarship for students 2027,scholarship,,India,informational,medium,private
Reliance Foundation scholarship 2027 apply,scholarship,,India,informational,medium,private
ONGC scholarship for SC ST students 2027,scholarship,,India,informational,low,
NTPC scholarship for engineering students,scholarship,,India,informational,low,
Maulana Azad National Fellowship 2027,scholarship,,India,informational,medium,
Rajiv Gandhi National Fellowship 2027,scholarship,,India,informational,medium,
Indira Gandhi scholarship for single girl child 2027,scholarship,,India,informational,medium,
KVPY fellowship discontinued alternatives 2027,scholarship,science,India,informational,medium,
sports scholarship for students india 2027,scholarship,,India,informational,low,
scholarship for war widows children 2027,scholarship,,India,informational,low,
scholarship for ex-servicemen children 2027,scholarship,,India,informational,low,
scholarship for physically handicapped students 2027,scholarship,,India,informational,medium,
top 10 scholarships for class 10 students 2027,scholarship,,India,informational,high,guide
top 10 scholarships for class 12 students 2027,scholarship,,India,informational,high,guide
scholarship for MTech students 2027 GATE,scholarship,engineering,India,informational,medium,
scholarship for PhD students UGC JRF 2027,scholarship,,India,informational,medium,
PMSS scholarship for professional degree 2027,scholarship,,India,informational,medium,
how to write scholarship essay tips india,scholarship,,India,informational,medium,guide
scholarship interview tips how to prepare,scholarship,,India,informational,low,guide
common mistakes in scholarship applications avoid,scholarship,,India,informational,medium,guide
difference between scholarship and education loan,scholarship,,India,informational,medium,guide
education loan vs scholarship which is better,scholarship,,India,informational,medium,
how to get education loan in india process 2027,scholarship,,India,informational,high,guide
education loan interest rates comparison 2027,scholarship,,India,informational,high,
SBI education loan for study abroad 2027,scholarship,,India,informational,medium,
bank education loan without collateral 2027,scholarship,,India,informational,high,
how to prepare for SSC MTS 2027 strategy,exam-prep,,,informational,medium,
how to prepare for RRB Group D 2027,exam-prep,,,informational,medium,
how to prepare for SSC GD Constable 2027,exam-prep,,,informational,medium,
how to prepare for AFCAT 2027 exam,exam-prep,,,informational,medium,
how to prepare for CDS 2027 OTA IMA,exam-prep,,,informational,medium,
how to prepare for RBI Grade B 2027,exam-prep,,,informational,medium,
how to prepare for SEBI Grade A 2027,exam-prep,,,informational,low,
how to prepare for LIC AAO 2027,exam-prep,,,informational,low,
how to prepare for NABARD Grade A 2027,exam-prep,,,informational,low,
how to prepare for EPFO EO 2027,exam-prep,,,informational,low,
how to prepare for UPPSC PCS 2027,exam-prep,,,informational,medium,
how to prepare for BPSC 2027 Bihar,exam-prep,,,informational,medium,
how to prepare for MPPSC 2027,exam-prep,,,informational,low,
how to prepare for RPSC RAS 2027 Rajasthan,exam-prep,,,informational,low,
how to prepare for KPSC KAS 2027 Karnataka,exam-prep,,,informational,low,
how to prepare for WBPSC 2027 West Bengal,exam-prep,,,informational,low,
how to prepare for TNPSC Group 1 2027 Tamil Nadu,exam-prep,,,informational,low,
how to prepare for CSIR NET 2027 chemistry physics,exam-prep,science,,informational,medium,
how to prepare for ICAR AIEEA 2027,exam-prep,agriculture,,informational,low,
how to prepare for NIFT entrance 2027,exam-prep,design,,informational,medium,
how to prepare for AILET 2027 NLU Delhi,exam-prep,law,,informational,low,
how to prepare for KEAM 2027 Kerala,exam-prep,engineering,Kerala,informational,low,
how to prepare for GUJCET 2027 Gujarat,exam-prep,engineering,Gujarat,informational,low,
how to prepare for CUET PG 2027 after graduation,exam-prep,,,informational,medium,
JEE Main 2027 preparation timetable daily schedule,exam-prep,engineering,,informational,high,
NEET 2027 last 3 months preparation plan,exam-prep,medical,,informational,high,
SSC CGL vs Bank PO vs Railways which career 2027,exam-prep,,,informational,high,
government exam after graduation complete list 2027,exam-prep,,,informational,high,
government exam after 12th complete list 2027,exam-prep,,,informational,high,
government exam after 10th ITI diploma list 2027,exam-prep,,,informational,high,
highest paying government jobs in india 2027 salary,exam-prep,,,informational,high,
easiest government exams to crack in india 2027,exam-prep,,,informational,high,
government exams without interview direct selection,exam-prep,,,informational,medium,
government jobs for women reserved posts 2027,exam-prep,,,informational,medium,
government jobs for engineers BTech 2027,exam-prep,engineering,,informational,high,
government jobs for MBA graduates 2027,exam-prep,management,,informational,medium,
government jobs for law graduates 2027,exam-prep,law,,informational,medium,
government jobs for science graduates BSc 2027,exam-prep,science,,informational,medium,
government jobs for commerce graduates BCom 2027,exam-prep,commerce,,informational,medium,
government jobs for arts graduates BA 2027,exam-prep,arts,,informational,medium,
government jobs for medical professionals 2027,exam-prep,medical,,informational,medium,
IAS vs IPS vs IFS salary lifestyle comparison 2027,exam-prep,,,informational,high,
bank PO salary after 7th pay commission 2027,exam-prep,,,informational,medium,
SSC CGL posts salary promotion details 2027,exam-prep,,,informational,high,
railway jobs salary comparison all departments 2027,exam-prep,,,informational,medium,
PSU salary for GATE score holders 2027,exam-prep,engineering,,informational,medium,
UPSC age limit relaxation OBC SC ST 2027,exam-prep,,,informational,medium,
number of attempts for UPSC CSE age limit,exam-prep,,,informational,high,
physical fitness test for NDA CDS CAPF details,exam-prep,,,informational,medium,
medical standards for government jobs India,exam-prep,,,informational,medium,
how to balance job and competitive exam preparation,exam-prep,,,informational,high,guide
time management tips for competitive exam students,exam-prep,,,informational,medium,guide
how to study for 10 hours daily tips for students,exam-prep,,,informational,medium,guide
study motivation tips for competitive exam aspirants,exam-prep,,,informational,low,
best coaching institutes in delhi for UPSC 2027,exam-prep,,,informational,high,
best coaching for IIT JEE in kota 2027,exam-prep,engineering,Kota,informational,high,
best coaching for NEET in kota 2027,exam-prep,medical,Kota,informational,high,
best coaching for SSC CGL in delhi 2027,exam-prep,,Delhi,informational,medium,
best coaching for bank PO in delhi 2027,exam-prep,,Delhi,informational,medium,
online vs offline coaching which is better 2027,exam-prep,,,informational,high,guide
free government coaching schemes for SC ST OBC,exam-prep,,,informational,high,
self study vs coaching for competitive exams,exam-prep,,,informational,high,guide
how to choose right coaching institute tips,exam-prep,,,informational,medium,guide
